"","ServiceStationName","Address"
"1336","Metro Petroleum Barmedman","82-94 Queen Street, BARMEDMAN NSW 2668"
"1337","Metro Fuel Broken Hill","571 Beryl Street, Broken Hill NSW 2880"
"1338","Metro Petroleum Alfredtown","3012 Sturt Highway, ALFREDTOWN NSW 2650"
"1339","Westside Petroleum Campbelltown","104 Lindesay Street, CAMPBELLTOWN NSW 2560"
"1340","BP Macquarie Fields","72 Harold St, Macquarie Fields NSW 2564"
"1344","Metro Peakhurst","114 Boundary Road, PEAKHURST NSW 2210"
"1349","Metro Petroleum Narwee","32 Bryant St, NARWEE NSW 2209"
"1352","Metro Murrurundi","148 Mayne St, MURRURUNDI NSW 2338"
"1356","Shell Chinderah","2-12 Chinderah Bay Drive, Chinderah NSW 2478"
"1358","Shell Leeton","98 Kurrajong Ave, LEETON NSW 2705"
"1364","Metro Petroleum Belmore","442 Punchbowl Rd, BELMORE NSW 2192"
"1365","Metro Petroleum Lakemba","47 Lakemba Street, Belmore NSW 2192"
"1371","7-Eleven Arncliffe","28 Princes Highway, Arncliffe NSW 2205"
"1377","METRO SHORTLAND","278 Sandgate Road, SHORTLAND NSW 2307"
"1380","BUDGET PETROL ASHFIELD","22 Charlotte Street, ASHFIELD NSW 2131"
"1382","Metro Weston","191-193 Cessnock Rd, Weston NSW 2326"
"1384","Metro Bellbird Heights","309 Wollombi Road, Bellbird Heights NSW 2325"
"1388","Budget Blacktown","143 Kildare Road, Blacktown NSW 2148"
"1392","BP Botany","1579 Botany Road, Botany NSW 1579"
"1403","Mobil Young Street","624 Young St, ALBURY NSW 2640"
"1404","Metro Shelly Beach","50 Shelly Beach Rd, Shelly Beach NSW 2261"
"1419","SPEEDWAY SACKVILLE STREET FAIRFIELD","115 Sackville Street, FAIRFIELD NSW 2165"
"1424","United Grafton","105 Bent St, SOUTH GRAFTON NSW 2460"
"1433","Metro Petroleum Oakflats","80-82 Central Ave, OAK FLATS NSW 2529"
"1435","Metro Toongabbie","59 The Crescent, TOONGABBIE NSW 2146"
"1444","MOBIL SALAMANDER BAY","15 Bagnall Beach Road, SALAMANDER BAY NSW 2317"
"1445","METRO WILLIAMTOWN LAVIS","1 Lavis Lane, WILLIAMTOWN NSW 2318"
"1450","Metro Fuel Charlestown","132/138 Pacific Hwy, Charlestown NSW 2290"
"1452","Independent Warren","Oxley Hwy (Uncle Clarrie'S Service Station), Warren NSW 2824"
"1455","Independent Warren","1 Coonamble Road (Warren Fuels), Warren NSW 2824"
"1463","Mobil Berridale","68 Jindabyne Rd, BERRIDALE NSW 2628"
"1465","Mobil South Tamworth","2 Kathleen St, SOUTH TAMWORTH NSW 2340"
"1466","Mobil Tamworth","246 Goonoo Goonoo Road, SOUTH TAMWORTH NSW 2340"
"1472","Caltex Castlereagh","1141 Castlereagh Rd, Castlereagh NSW 2749"
"1476","Westside Freshwater","46 Albert Street, Freshwater NSW 2096"
"1486","Caltex Woolworths Orange","357-361 Summer St (Cnr William), Orange NSW 2800"
"1490","Coles Express Broadmeadow","2 Brunker Rd, Broadmeadow NSW 2292"
"1506","7-Eleven Emerton","Shop 1, 135-137 Popondetta Road, Emerton NSW 2770"
"1516","United Petroleum Dee Why","1 The Strand, Dee Why NSW 2099"
"1524","BP Loftus","127 Loftus Ave, Loftus NSW 2232"
"1549","BP Randwick","8-10 Perouse Road, RANDWICK NSW 2031"
"1562","Speedway Revesby","106 Milperra Rd, Revesby NSW 2212"
"1568","Coles Express Wattle Grove","115 Heathcote Rd, Wattle Grove NSW 2173"
"1569","BP Chipping Norton","7-9 Newbridge Road, Chipping Norton NSW 2170"
"1574","7-Eleven Roseville","Corner Pacific Highway & Boundary Street, Roseville NSW 2069"
"1575","Metro Fuel Doonside","198 Hill End Road, Doonside NSW 2767"
"1576","Coles Express Mittagong","Old Hume Hwy (Cnr Balaclava St), Mittagong NSW 2575"
